Intercept is on	拦截开启(on)
Select the location in the response where the token appears.	请选择令牌在响应中显示的位置。(Select the location in the response where the token appears.)
Form field:	表格字段(Form field)：
Custom location:	自定义位置(Custom location)：
Configure	设定(Configure)
Live Capture Options	实时捕捉选项(Live Capture Options)
These settings control the engine used for making HTTP requests and harvesting tokens when performing the live capture.	配置引擎的行为以在执行实时捕获和收集令牌时生成HTTP请求。
Throttle between requests (milliseconds):	请求之间的限制(Throttle between requests)(ms)：
Ignore tokens whose length deviates by	忽略tokens的长度偏移(tokens) 
characters	个字符(characters)
Manual Load	手动加载(Manual Load)
This function allows you to load Sequencer with a sample of tokens that you have already obtained, and then perform the statistical analysis on the sample.	您可以将已获取的标记的样本加载到Sequencer中，然后执行样本的统计分析。
Analyze now	立刻分析(Analyze now)
Tokens loaded:	载入Tokens(Tokens loaded)：
Shortest:	最短(Shortest):
Longest:	最长(Longest):
Analysis Options	分析选项(Analysis Options)
Analysis options	分析选项(Analysis options)
Live capture	实时捕捉(Live capture)
Manual load	手动加载(Manual load)
Token Handling	令牌处理(Token Handling)
These settings control how tokens are handled during analysis.	这些设置控制令牌在分析期间的处理。
Pad short tokens at:	在以下位置填充短令牌(Pad short tokens at):
Start	头(Start)
End	末尾(End)
Pad with (single character or 2-digit ASCII hex code):	填充字符（1或2位ASCII十六进制代码）：
Base64-decode before analyzing	在解析前进行Base64解码
Token Analysis	令牌分析(Token Analysis)
The options below control the types of analysis that is performed at the bit level.	一下选项控制在字符级别执行的分析类型。
Count	计数(Count)
Transitions	转换(Transitions)
The options below control the types of analysis that is performed at the bit level.	控制在位级执行的分析类型。
FIPS monobit	FIPS单比特(FIPS monobit)
FIPS poker	FIPS扑克(FIPS poker)
FIPS runs	FIPS运行(FIPS runs)
FIPS long run	FIPS长运行(FIPS long run)
Spectral	光谱(Spectral)
Correlation	相关(Correlation)
Compression	压缩(Compression)
Smart decode	智能解码(Smart decode)
This function lets you do a word- or byte-level comparison between different data. You can load, paste, or send data here from other tools and then select the comparison you want to perform.	此功能允许您在不同数据之间进行字或者字节级比较，您可以从其他工具加载粘贴或者发送数据，然后选择要执行的配置。
Select item ([0-9]+):	选定的项目(Select item)$1:
Compare ...	比较(Compare) ...
Words	文字(Words)
Bytes	字节(Bytes)
Added 	 追加(Added)
Deleted 	 删除(Deleted)
Modified 	 修改(Modified)
Key:	key:
Load	加载(Load)
Burp Extensions	Burp扩展(Burp Extensions)
Extensions let you customize Burp's behavior using your own or third-party code.	您可以使用自己或第三方代码自定义Burp的功能。
Loaded	已经加载(Loaded)
Output to system console	输出到系统控制台(Output to system console)
Save to file:	保存到文件(Save to file)：
Show in UI	在UI中显示(Show in UI)
Extension loaded	扩展加载(Extension loaded)
Detail	详细(Detail)
Extension type:	扩展类型(Extension type)：
Filenames	文件名(Filenames)
The extension loaded successfully. Any output or error messages generated are shown below.	已成功加载扩展程序。生成的输出和错误显示在下面。
Please enter the details of the extension, and how you would like to handle standard output and error.	请输入扩展的详细信息以及如何处理标准输出和错误。
Extension Details	扩展细节(Extension Details)
Extension file \(\.(jar|py|rb)\):	扩展文件(Extension file)(.$1)
Standard Output	标准输出(Standard Output)
Standard Error	标准错误(Standard Error)
Output to system console	输出到系统控制台(Output to system console)
Show in UI	在UI中显示(Show in UI)
Refresh list	刷新列表(Refresh list)
Manual install ...	手动安装(Manual install)......
Pro extension	Pro拓展(Pro extension)
The BApp Store contains Burp extensions that have been written by users of Burp Suite, to extend Burp's capabilities.	BApp商店扩展了扩展Burp功能，由Burp Suite用户编写。
BApp Store	BApp商店(BApp Store)
Installed	已安装(Installed)
Rating	评分(Rating)
Rating:	评分(Rating)：
Popularity	受欢迎程度(Popularity)
Popularity:	受欢迎程度(Popularity):
Last updated	最终更新(Last updated)
Detail	详细(Detail)
Install	安装(Install)
Author:	作者(Author):
Version:	版本(Version)：
Source:	源代码(Source)：
Updated:	更新(Updated):
These settings let you configure the environment for executing extensions that are written in Ruby. To use Ruby extensions, you will need to download JRuby, which is a Ruby interpreter implemented in Java. Note that you can either configure the location of the JRuby JAR file here, or you can load the JAR file on startup via the Java classpath.	您可以设置环境以执行Ruby扩展。要使用Ruby的扩展，您需要下载JRuby，一个用Java实现的Ruby解释器。您可以在此处设置JRuby JAR文件的位置，也可以在启动时从Java类路径加载JAR文件。
Download Jython	下载Jython(Download Jython)
Download JRuby	下载JRuby(Download JRuby)
Save interface files	保存接口文件(Save interface files)
Save Javadoc files	保存Javadoc文件(Save Javadoc files)
You can use the Burp Extender APIs to create your own extensions to customize Burp's behavior.	使用Burp Extender的API，您可以创建自己的扩展来自定义Burp的功能。
Burp Extender APIs	Burp扩展API(Burp Extender APIs)
To use Python extensions, you need to download Jython, and configure its location in Burp Extender options.	要使用Python扩展，您需要下载Jython，并在Burp扩展选项中配置它的位置。
To use Ruby extensions, you need to download JRuby, and configure its location in Burp Extender options.	要使用Ruby扩展，您需要下载JRuby，并在Burp扩展选项中配置它的位置。
Settings	设置(Settings)
These settings control how Burp handles extensions on startup.	这些设置控制Burp在启动时如何处理扩展。
Automatically reload extensions on startup	在启动时自动重新加载扩展(Automatically reload extensions on startup)
Automatically update installed BApps on startup	在启动时自动更新已安装的BApp(Automatically update installed BApps on startup)
Java Environment	Java环境(Java Environment)
These settings let you configure the environment for executing extensions that are written in Java. If your extensions use any libraries, you can specify a folder from which libraries will be loaded.	您可以设置环境以执行用Java编写的扩展。如果扩展使用任何库，则可以指定将加载库的文件夹。
Folder for loading library JAR files (optional):	用于读取库的JAR文件的文件夹(Folder for loading library JAR files)（可选）：
Select folder ...	选择文件夹(Select folder)...
Python Environment	Python环境(Python Environment)
These settings let you configure the environment for executing extensions that are written in Python. To use Python extensions, you will need to download Jython, which is a Python interpreter implemented in Java.	您可以设置环境以执行用Python编写的扩展。要使用Python扩展，您需要下载Jython，一个用Java实现的Python解释器。
Location of Jython standalone JAR file:	Jython的JAR文件位置(Location of Jython standalone JAR file)：
Folder for loading modules (optional):	加载模块的文件夹(Folder for loading modules)（可选）：
Ruby Environment	Ruby环境(Ruby Environment)
Location of JRuby JAR file:	JRuby JAR文件位置(Location of JRuby JAR file)：
Connections	连接(Connections)
Platform Authentication	平台认证设置(Platform Authentication)
These settings are configured within user options but can be overridden here for this specific project.	这些设置在用户选项中，但可以在此覆盖指定的项目。
Override user options	覆盖用户选项(Override user options)
Upstream Proxy Servers	上游代理服务器(Upstream Proxy Servers)
These settings let you configure Burp to automatically carry out platform authentication to destination web servers.	这些设置允许您将Burp配置为自动对目标web服务器执行平台身份验证。
Do platform authentication	执行平台验证(Do platform authentication)
Destination host	目标主机(Destination host)
Domain hostname	域名主机名(Domain hostname)
Prompt for credentials on platform authentication failure	平台身份验证失败时显示凭据提示(Prompt for credentials on platform authentication failure)
Add platform authentication credentials	添加平台身份验证凭据
Enter the platform credentials for the specified destination host.	请输入目标主机平台凭据。
Destination host:	目标(Destination)Host:
Authentication type:	验证类型(Authentication type)：
Username	用户名
Domain:	域名(Domain)：
Domain hostname:	域名主机名(Domain hostname)：
The following rules determine whether Burp sends each outgoing request to a proxy server, or directly to the destination web server. The first rule that matches each destination host will be used. To send all traffic to a single proxy server, create a rule with * as the destination host.	每个传出请求是发送到代理服务器还是直接发送到目标Wweb服务器由以下规则确定。使用目标主机首次匹配的规则。要将所有流量发送到单个代理服务器，请使用目标主机*创建规则。
Proxy host	代理(Proxy)host
Proxy port	代理端口(Proxy port)
Proxy host:	代理(Proxy)host:
Proxy port:	代理端口(Proxy port):
Auth type	验证类型(Auth type)
Add upstream proxy rule	添加上游的代理规则
Enter the details of the upstream proxy rule. You can use wildcards to specify destination hosts (* matches zero or more characters, ? matches any character except a dot). Leave the proxy host blank to connect directly for the specified destination host.	请输入上层代理的详细信息。您可以使用通配符（*表示零个或多个字母，？对于除点之外的任何字符）以指定目标主机。将代理主机留空以直接连接到指定的主机。
Destination host, may include wildcards	目标主机，可以包含通配符
Proxy host, leave blank to connect directly	代理主机，如果是直接连接则留空
These settings determine whether Burp sends each outgoing request to a proxy server, or directly to the destination web server. The first rule that matches each destination host will be used. To send all traffic to a single proxy server, create a rule with * as the destination host.	设置是通过代理服务器还是直接向Web服务器发送传出请求。使用目标主机首次匹配的规则。要将所有流量发送到单个代理服务器，请使用目标主机*创建规则。
These settings let you configure Burp to use a SOCKS proxy. This setting is applied at the TCP level, and all outbound requests will be sent via this proxy. If you have configured rules for upstream HTTP proxy servers, then requests to upstream proxies will be sent via the SOCKS proxy configured here.	配置为使用SOCKS代理。此设置应用于TCP级别，所有传出请求都通过此代理发送。如果已设置更高级别的HTTP代理服务器，则将通过此处的SOCKS代理集发送对上层代理的请求。
Use SOCKS proxy	使用SOCKS代理(Use SOCKS proxy)
SOCKS proxy host:	SOCKS代理主机：
SOCKS proxy port:	SOCKS代理端口：
Username:	用户名：
Do DNS lookups over SOCKS proxy	通过SOCKS代理进行DNS查找
Timeouts	超时(Timeouts)
These settings specify the timeouts to be used for various network tasks. Values are in seconds. Set an option to zero or leave it blank to never timeout that task.	指定用于各种网络任务的超时。该值以秒为单位。如果您不希望任务超时，请将其设置为0或将其留空。
Normal:	正常(Normal):
Open-ended responses:	从响应的开始到结束(Open-ended responses)：
Domain name resolution:	域名解析(Domain name resolution)：
Failed domain name resolution:	在名称解析失败时重试(Failed domain name resolution)：
Hostname Resolution	主机名解析(Hostname Resolution)
Enter the hostname and IP address. Burp will use this setting instead of the DNS resolution provided by your computer.	请输入主机名和IP地址。使用此设置而不是计算机的DNS名称解析。
Hostname:	主机名(Hostname)：
IP address:	IP地址(IP address)：
Add hostname resolution rule	添加主机名解析规则
Add entries here to override your computer's DNS resolution.	在此处添加以覆盖计算机的DNS名称解析。
Out-of-Scope Requests	超出范围的请求(Out-of-Scope Requests)
This feature can be used to prevent Burp from issuing any out-of-scope requests, including those made via the proxy.	它可以防止由范围外的请求引起的问题，包括通过代理生成的请求。
Drop all out-of-scope requests	销毁范围之外的所有请求(Drop all out-of-scope requests)
Use suite scope [defined in Target tab]	使用整个范围()Use suite scope[在目标(Target)选项卡上定义]
Use custom scope	使用自定义范围(Use custom scope)
These settings control the types of redirections that Burp will understand in situations where it is configured to follow redirections.	将Burp识别的重定向类型设置为遵循重定向的情况。
3xx status code with Location header	Location带标题的3xx状态代码(3xx status code with Location header)
Refresh header	刷新标题(Refresh header)
Meta refresh tag	HTML头meta实现refresh重新定向标签(Meta refresh tag)
JavaScript-driven	JavaScript驱动(JavaScript-driven)
Any status code with Location header	任何带有Location标头的状态代码(Any status code with Location header)
When following redirections, understand the following types:	在关注链接时，它会识别以下类型：
These settings are used to specify URLs returning responses that stream indefinitely. The Proxy will pass these responses straight through to the client. Repeater will update the response panel as the response is received. Other tools will ignore streaming responses. In order to view the contents of streaming responses within Burp, you need to check the "store streaming responses" option.	指定返回无限流响应的URL。代理将这些响应直接传递给客户端。 Repeater将在收到响应后更新面板。其他工具忽略流式响应。要查看Burp中的流式响应内容，您需要选中“保存流式响应”选项。
Store streaming responses (may result in large temp files)	保存流式响应(Store streaming responses)（可以创建大型临时文件）
Strip chunked encoding metadata in streaming responses	从流响应中删除分块编码元数据(Strip chunked encoding metadata in streaming responses)
Status 100 Responses	状态100的响应(Status 100 Responses)
These settings control the way Burp handles HTTP responses with status 100.	这些设置是控制Burp如何处理状态为100的HTTP响应。
Understand 100 Continue responses	了解100继续响应(Understand 100 Continue responses)
Remove 100 Continue headers	去除100继续头(Remove 100 Continue headers)
Streaming Responses	流媒体响应(Streaming Responses)
Output	输出(Output)
An error occurred while loading the extension. Any output or error messages generated are shown below.	加载扩展程序时发生错误。生成的输出和错误显示在下面。
SSL Negotiation	SSL协议(SSL Negotiation)
TLS Negotiation	TLS协议(TLS Negotiation)
These settings control the SSL protocols and ciphers that Burp will use when performing SSL negotiation with upstream servers. If you are experiencing problems with SSL negotiation, you can use these settings to request use of specific protocols or ciphers. Use these options with caution as misconfiguration may break all your outgoing SSL connections.	控制Burp用于与更高级别服务器执行SSL协商的SSL协议和密码。如果您遇到SSL协商问题，可以将其配置为使用特定协议和密码。配置错误可能会导致所有传出的SSL连接中断，因此请谨慎使用。
These settings control the TLS protocols and ciphers that Burp will use when performing TLS negotiation with upstream servers. If you are experiencing problems with TLS negotiation, you can use these settings to request use of specific protocols or ciphers. Use these options with caution as misconfiguration may break all your outgoing TLS connections.	控制Burp用于与更高级别服务器执行TLS协商的TLS协议和密码。如果您遇到TLS协商问题，可以将其配置为使用特定协议和密码。配置错误可能会导致所有传出的TLS连接中断，因此请谨慎使用。
Use all supported protocols and ciphers of your Java installation	使用Java安装中所有受支持的协议和密码(Use all supported protocols and ciphers of your Java installation)
Use the default protocols and ciphers of your Java installation	使用默认协议和密码进行Java安装(Use the default protocols and ciphers of your Java installation)
Use custom protocols and ciphers	使用自定义协议和加密(Use custom protocols and cipher)
SSL Negotiation Workarounds	SSL协议的解决方法(SSL Negotiation Workarounds)
TLS Negotiation Workarounds	TLS协议的解决方法(TLS Negotiation Workarounds)
Allow unsafe renegotiation (required for some client certificates)	允许不安全的重新协商(Allow unsafe renegotiation)（某些客户端证书需要）
Disable SSL session resume	禁用SSL会话恢复(Disable SSL session resume)
Disable TLS session resume	禁用TLS会话恢复(Disable TLS session resume)
Client SSL Certificate	客户端SSL证书
Client SSL Certificates	客户端SSL证书
Client TLS Certificate	客户端TLS证书(Client TLS Certificate)
Client TLS Certificates	客户端TLS证书(Client TLS Certificates)
These settings let you configure the client SSL certificates that Burp will use when a destination host requests one. Burp will use the first certificate in the list whose host configuration matches the name of the host being contacted. You can double-click on an item to view the full details of the certificate.	设置目标主机请求客户端SSL证书时使用的证书。使用列表中与您尝试连接的主机的主机名匹配的第一个证书。双击该项以查看证书的详细信息。
These settings let you configure the client TLS certificates that Burp will use when a destination host requests one. Burp will use the first certificate in the list whose host configuration matches the name of the host being contacted. You can double-click on an item to view the full details of the certificate.	设置目标主机请求客户端TLS证书时使用的证书。使用列表中与您尝试连接的主机的主机名匹配的第一个证书。双击该项以查看证书的详细信息。
Alias	別名(Alias)
Subject	主题(Subject)
Issuer	发布人(Issuer)
Key	关键(Key)
Failed to load certificate: (.*)	无法加载证书：$1
Specify the host(s) for which the certificate should be used, and the certificate type. You can use wildcards to specify destination hosts (* matches zero or more characters, ? matches any character except a dot), or leave the field blank to apply to all hosts.	选择使用证书的主机及其证书类型。您可以使用通配符（*表示零个或多个字母，？对于除dot之外的任何字符）指定目标主机，或将其留空以应用于所有主机。
Certificate type:	证书类型：
Hardware token or smart card (PKCS#11)	硬件令牌和智能卡(Hardware token or smart card)（PKCS＃11）
Host, may include wildcards, or leave blank to apply to all hosts	主机（已启用通配符）或所有主机为空
Server SSL Certificates	服务器SSL证书(Server SSL Certificates)
Server TLS Certificates	服务器TLS证书(Server TLS Certificates
This panel shows a list of the unique SSL certificates received from web servers. Double-click an item to show the full details of the certificate.	此面板显示从Web服务器接收的唯一SSL证书。双击该项目以查看证书的详细信息。
This panel shows a list of the unique TLS certificates received from web servers. Double-click an item to show the full details of the certificate.	此面板显示从Web服务器接收的唯一TLS证书。双击该项目以查看证书的详细信息。
Note: these settings can be overridden for individual projects within project options.	注意：这些设置可以被各个项目的项目选项覆盖。
Java SSL Options	Java SSL选项
Java TLS Options	Java TLS选项
These settings can be used to enable certain SSL features that might be needed to successfully connect to some servers.	它是一个设置，用于启用与某些服务器的正常连接所需的各种SSL功能。
These settings can be used to enable certain TLS features that might be needed to successfully connect to some servers.	它是一个设置，用于启用与某些服务器的正常连接所需的各种TLS功能。
Enable algorithms blocked by Java security policy (requires restart)	启用Java安全策略阻止的算法(Enable algorithms blocked by Java security policy)（需要重启）
Disable Java SNI extension (requires restart)	禁用Java SNI扩展(Disable Java SNI extension)（需要重新启动）
User Interface	用户界面(User Interface)
These settings let you control the appearance of Burp's user interface.	这些设置是控制Burp用户界面的外观。
Font size:	字体大小(Font size)：
Look and feel:	外观皮肤(Look and feel)：
Changes will take effect when Burp is restarted.	更改将在重新启动后生效。(Changes will take effect when Burp is restarted.)
HTTP Message Display	HTTP消息显示设置(HTTP Message Display)
These settings let you control how HTTP messages are displayed within the raw HTTP viewer/editor.	控制HTTP消息在原始HTTP查看器/编辑器中的显示方式。
Font:	字体(Font)：
Change font ...	改变字体(Change font)...
Highlight request syntax	突出显示请求语法(Highlight request syntax)
Highlight response syntax	突出显示响应语法(Highlight response syntax)
Character Sets	字符集设置(Character Sets)
These settings control how Burp handles different character sets when displaying raw HTTP messages. Note that some glyphs are not supported by all fonts. If you need to use an extended or unusual character set, you should first try a system font such as Courier New or Dialog.	控制在显示HTTP消息raw时Burp如何处理各种字符集。请注意，所有字体都不支持某些字形。如果要使用扩展或异常字符集，请首先尝试使用Courier New和Dialog等系统字体。
Recognize automatically based on message headers	从消息头中自动识别(Recognize automatically based on message headers)
Use the platform default \((.*)\)	使用平台默认(Use the platform default)（$1）
Use the platform default	使用平台默认值(Use the platform default)
Display as raw bytes	显示为原始字节(Display as raw bytes)
Use a specific character set:	使用指定的字符集(Use a specific character set)：
HTML Rendering	HTML呈现(HTML Rendering)
These settings control how Burp handles in-tool rendering of HTML content.	在工具中设置HTML内容的呈现。
Allow renderer to make HTTP requests (for images, etc.)	允许渲染器发送HTTP请求（图像等）(Allow renderer to make HTTP requests (for images, etc.))
Enable embedded browser sandbox	启用内置浏览器沙箱(Enable embedded browser sandbox)
Enable embedded browser sandbox (Windows only)	启用内置浏览器沙箱（仅限Windows）(Enable embedded browser sandbox (Windows only)
Hotkeys	热键(Hotkeys)
These settings let you configure hotkeys for common actions. These include item-specific actions such as "Send to Repeater", global actions such as "Switch to Proxy", and in-editor actions such as "Cut" and "Undo".	您可以设置热键以执行常见操作。您可以为特定于项目的操作设置热键，例如“发送到转发器”，诸如“切换到代理”之类的全局操作，编辑器中的操作，如“剪切”和“撤消”。
Hotkey	热键(Hotkey)
Edit hotkeys	热键编辑(Edit hotkeys)
Automatic Project Backup [disk projects only]	自动项目备份(Automatic Project Backup)[仅限磁盘项目]
Automatic project backup saves a copy of the Burp project file periodically in the background.	Project Auto Backup会定期在后台保存Burp项目文件的副本
Automatically back up the project every	自动项目备份间隔
Include in-scope items only	仅包括在范围内的项目(Include in-scope items only)
Show progress dialog during backups	备份期间显示进度对话框(Show progress dialog during backups)
Delete backup file on clean shutdown of Burp	当Burp正常完成时删除备份文件(Delete backup file on clean shutdown of Burp)
Temporary Files Location	临时文件位置(Temporary Files Location)
These settings let you configure where Burp stores its temporary files. Changes will take effect the next time Burp starts up.	这些设置允许您配置Burp存储其临时文件的位置。更改将在下次启动Burp时生效。
Use default system temp directory	使用系统默认临时目录(Use default system temp directory)
Use custom location:	使用指定位置(Use custom location)：
Choose folder ...	选择文件夹(Choose folder)...
The REST API can be used by other tools to integrate with Burp Suite. This function exposes sensitive functionality and data, and you should read the full documentation before enabling the service.	您可以使用REST API将Burp Suite与其他工具集成。此功能公开高度机密的功能和数据，因此您需要在启用服务之前阅读所有手册。
Service URL:	Service URL:
Change...	修改(Change)...
Service running	服务运行中(Service running)
Allow access without API key (using this option is not secure)	允许在没有API密钥的情况下访问(Allow access without API key)（此选项不安全）
New	新(New)
Created	创建(Created)
Configure REST API URL	REST API URL设置
These settings control how Burp binds the REST API.	这些设置控制Burp如何绑定REST API
New API key	新的API密钥
API keys are secrets and should be handled carefully. You cannot retrieve an existing API key from Burp after it has been created.	API密钥是保密的，需要谨慎对待。创建后无法从Burp获取API密钥。
Copy key to clipboard	将密钥复制到剪贴板(Copy key to clipboard)
Proxy Interception	代理拦截(Proxy Interception)
This setting controls the state of proxy interception at startup.	此设置控制启动时代理监听的状态。
Enable interception at startup:	启动时启用拦截：
Always enable	始终启用(Always enable)默认
Always disable	始终禁用(Always disable)
Restore setting from when Burp was last closed	最后一个退出时恢复状态(Restore setting from when Burp was last closed)
Proxy History Logging	代理历史记录(Proxy History Logging)
Target scope will automatically set the Proxy option to stop sending out-of-scope items to the history or other Burp tools.	设置是否自动添加“代理”选项，以防止在向目标范围添加项目时将超出范围的项目发送到历史记录或其他Burp工具。
When items are added to Target scope:	将项目添加到目标范围(Target scope)时：
Stop sending out-of-scope items to Proxy history and other Burp tools	停止将超出范围的项发送到代理历史记录和其他Burp工具
Prompt for action	选择每个操作(Prompt for action)默认
Do nothing	什么都不做(Do nothing)
Performance Feedback	问题反馈(Performance Feedback)
Submit anonymous feedback about Burp's performance	匿名提交有关Burp的问题(Submit anonymous feedback about Burp's performance)
Feedback only contains technical information about Burp's internal functioning, and does not identify you in any way. If you do report a bug via email, you can help us diagnose any problems that your instance of Burp has encountered by including your debug ID.	反馈只包含有关Burp内部功能的技术信息，不以任何方式识别您。如果您确实通过电子邮件报告了一个bug，那么您可以通过包含调试ID来帮助我们诊断您的Burp实例遇到的任何问题。
Debug ID:	调试(Debug)ID：
Log exceptions to a local directory: 		从本地文件中载入异常日志(Log exceptions to a local directory):
Report bug	报告错误(Report bug)
Please select a directory	请选择一个目录
Open saved attack	打开保存的攻击(Open saved attack)
Scan defined insertion points	扫描定义的插入点(Scan defined insertion points)
Save attack config	保存攻击设置(Save attack config)
Load attack config	加载攻击设置(Load attack config)
Copy attack config	复制攻击设置(Copy attack config)
New tab behavior	新标签行为(New tab behavior)
Automatic payload positions	自动载入payload位置( payload positions)
Configure predefined payload lists	编辑预定义的payload(Configure predefined payload lists)
With payload positions	包括payload位置(With payload positions)
Without payload positions	不包括payload位置(Without payload positions)
To tab ([0-9]+)	到标签$1( to tab $1)
Replace base parameter value	替换原始参数值(Replace base parameter value)
Append to base parameter value	添加到原始参数值(Append to base parameter value)
Use default attack configuration	使用默认攻击设置(Use default attack configuration)
Copy configuration from first tab	从第一个选项卡复制设置(Copy configuration from first tab)
Copy configuration from last tab	从上一个标签复制设置(Copy configuration from last tab)
To new tab	到新标签(To new tab)
Follow redirections	跟随重定向(Follow redirections)
Parse WSDL	解析(Parse)WSDL
Chunked coding converter	分块传输(Chunked coding converter)
Encoding request body	对body进行分块编码(Encoding request body)
Decoding request body	对body进行分块解码(Decoding request body)
Config	配置(Config)
Chunked coding converter config	分块编码转换器配置(Chunked coding converter config)
Length of chunked:	分块长度(Length of chunked):
Add comments	添加注释(Add comments)
Length of comment:	注释长度(Length of comment):
Atc on:		运用在(Atc on):
All Tools	所有模块
SQLMapper	SQLmap联动
SQLMap Command	SQLMap命令
Extra SQLMap Params:	额外的SQLMap参数:
Detection	检测命令
Techniques	注入方式
Injection	注入
Enumeration	枚举
General/Misc.	一般/杂项
String match for True:	匹配字符串里存在的(String match for True):
String match for False:	匹配字符串里不存在的(String match for False):
Regex match for True:	正则匹配(Regex match for True):
HTTP Code for True:	HTTP状态码匹配(HTTP Code for True):
Compare on text only.	仅对文本进行比较(Compare on text only)
Compare on titles only.	仅对标题进行比较(Compare on titles only)
Test Forms	测试表格(Test Forms)
Boolean-based blind (B)	布尔盲注(Boolean-based blind)
Error-based (E)	显错注入(Error-based)
Union query-based (U)	联合注入(Union query-based)
Number of Colums:	字段长度(联合注入用)(Number of Colums)
Stacked queries (S)	堆叠注入(Stacked queries)
Time-based blind (T)	时间盲注(Time-based blind)
Inline queries (Q)	内联注入(Inline queries)
Delay (in seconds):	延迟(Delay :)多少秒
Second Order Attack URL:	二次注入URL(Second Order Attack):
Follow redirection:	跟随重定向(Follow redirection):
Refetch response	重新获取响应包(Refetch response)
Type a search term	输入搜索词(Type a search term)
Pretty print by default	默认显示美化后的代码(pretty print by default)
Pretty	美化(Pretty)
Options	选项(Options)
Send	发送(Send)
inputIP	输入IP(inputIP)
randomIP	生成随机IP(randomIP)
Launch Smuggle probe	发起走私探测请求(Launch Smuggle probe)
Save entire history	保存整个历史记录(Save entire history)
Paste URL as request	粘贴URL为request请求(Paste URL as request)
Add to site map	添加到站点地图(Add to site map)
Burp Repeater documentation	Burp Repeater模块文档(Burp Repeater documentation)
View Logs	查看日志(View Logs)
Filter: 	筛选(Filter):
Complete	完成(Complete)
Tool	工具(Tool)
Query	查询(Query)
Response Length	响应长度(Response Length)
Inferred Type	类型(Inferred Type)
New Cookies	新的cookies(New Cookies)
Request Time	请求时间(Request Time)
Response Time	响应时间(Response Time)
Proxy Listener Interface	监听的代理接口(Proxy Listener Interface)
Colorize	彩色化(Colorize)
Delete All	全部删除(Delete All)
Color Filters	颜色过滤器(Color Filters)
LogFilter	日志过滤器(LogFilter)
Foreground Color	前景色(Foreground Color)
Background Color	背景色(Background Color)
Add LogFilter	添加日志过滤器(Add LogFilter)
Clear Logs	清除日志(Clear Logs)
Export entry as CSV	导出为csv(Export entry as CSV)
Export entry as JSON	导出为json(Export entry as json)
Use (Request|Response|Proxy).(Host|Path|Query|Time|Complete|Method|Cookies||RTT|Complete|Status|Length|InferredType|Comment|Tool|ListenInterface) Value As LogFilter	使用该$1的$2作为过滤条件(Use $1.$2 Value As LogFilter)
Set (Request|Response|Proxy).(Host|Path|Query|Time|Complete|Method|Cookies||RTT|Complete|Status|Length|InferredType|Comment|Tool|ListenInterface) Value as Color Filter	设置该$1的$2颜色过滤(Set $1.$2 Value as Color Filter)
Add (Request|Response|Proxy).(Host|Path|Query|Time|Complete|Method|Cookies||RTT|Complete|Status|Length|InferredType|Comment|Tool|ListenInterface) Value To LogFilter	增加该$1的$2到日志过滤器(Add $1.$2 Value To LogFilter)
Export as...	导出为(Export as)...
Spider from here	从这里爬取(Spider from here)
Do an active scan	进行主动扫描(Do an active scan)
Do a passive scan	进行被动扫描(Do a passive scan)
Remove Item	删除项目(Remove Item)
Set response header "Connection: close"	响应头部设置 "Connection: close"(Set response header "Connection: close")
Disable web interface at http://burpsuite	关闭web(http://burpsuite)接口(Disable web interface at http://burpsuite)
Using Burp Proxy	使用Burp代理(Using Burp Proxy)
Burp Proxy options	Burp代理选项(Burp Proxy options)
Open Browser	打开自带浏览器
Burp Proxy documentation	Burp代理相关文档(Burp Proxy documentation)
Use Burp's embedded browser	使用Burp自带浏览器(Use Burp's embedded browser)
Open browser	打开自带浏览器(Open browser)
Use a different browser	使用系统上的的浏览器(Use a different browser)
View documentation	查看相关文档(View documentation)
Project options	项目选项()
Load project options	载入项目选项(Load project options)
Save project options	保存项目选项(Save project options)
Rename	重命名(Rename)
Import project file [disk projects only]	导入项目文件[仅限磁盘项目](Import project file [disk projects only])
Import legacy state file	导入遗留的状态文件(Import legacy state file)
All	所有(All)
Unpack gzip / deflate	解压(Unpack)gzip/deflate
Convert to chunked	转换为分块(Convert to chunked)
GZIP encode body	GZIp编码body(GZIP encode body)
Save copy	保存复制(Save copy)
Target: Not specified	目标：未指定
Target: (http.*)	目标(Target): $1
Session is not running	会话已停止(Session stopped)
Session is running	会话正在运行(Session running)
Discovery Session Status	搜索会话状态(Discovery Session Status)
Requests made:	生成的请求(Requests made)：
Bytes transferred:	传输的字节数(Bytes transferred)：
Tasks queued:	排队任务(Tasks queued)：
Spider requests queued:	排队中的爬行请求(Spider requests queued)：
Responses queued for analysis:	排队等待分析的响应(Responses queued for analysis)：
Queued Tasks	排队任务(Queued Tasks)
Define the start directory for the content discovery session, and whether files or directories should be targeted.	定义目录以启动内容发现会话和目标文件或目录。
Start directory:	开始目录(Start directory)：
Discover:	发现(Discover):
Files and directories	文件和目录(Files and directories)
Files only	仅限文件(Files only)
Directories only	仅限目录(Directories only)
Recurse subdirectories	递归搜索子目录(Recurse subdirectories)
Max depth:	最大深度(Max depth):
Built-in long directory list	长内置目录列表(Built-in long directory list)
Built-in long file list	内置长文件名列表(Built-in long file list)
Built-in short directory list	短内置目录列表(Built-in short directory list)
Built-in short file list	内置短文件名列表(Built-in short file list)
Custom file list:	自定义文件列表(Custom file list)：
Custom directory list:	自定义目录列表(Custom directory list)：
